conc,LasyWMiescie,JakieobszarylesnelubterenyzielonewybieraPanPaninajczesciej,JakaformerekreacjiwlesielubinaterenachzielonychwybieraPanPanin,CzegoprzedewszystkimoczekujePanPaniodrekreacjiwlesielubiterenach,JakokreslilbyokreslilabyPanPaniwlasneemocjeodczuwanewzwiaz,Czywporównaniuzczasemsprzedpandemiiwtrakciepandemiizwiekszyla,pandemia_zwiekszenie_rekreacji,Czyuprawianierekreacjiwlesielubiterenachzielonychmawplywnaobni,Sex,Age,PlaceOfLive,Miejscezamieszkaniawojewództwo,edu,status,kids,disability,job,active_coping,planning,positive_reframing,acceptance,humor,religion,emotional_support,instrumental_support,attention,denial,venting,substance_use,disengagement,self_blame,SkalaPodwyzszaniaNastroju,SkalaObnizaniaNastroju,active_coping,helplesness,support_seeking,avoidance,acceptance,humor,religion,Frequency_of_activity,season,place
1.776590632,1,"lasy w miescie, lasy poza miastem, laki","spacer, jazda rowerem","mozliwosci swobodnych spotkan z ludzmi bez koniecznosci zakladania maseczki, miejsca na podziwianie piekna przyrody, miejsca dajacego mozliwosc oddychania czystym powietrzem",,raczej tak,4,5,1,31,city_500000,swietokrzyskie,5,married,1,No,1,4,4,3,4,2,4,4,4,4,2,3,0,2,2,3.533333333,1.933333333,3.666666667,1.333333333,4,3,4,2,4,monday-friday,2,1
1.844318172,0,inne (jakie?):,"spacer, jazda rowerem, zbieranie grzybów","miejsca na podziwianie piekna przyrody, miejsca obserwacji zachowan dzikich zwierzat i ptaków, miejsca zbioru owoców lesnych i grzybów",,nie zmienila sie,3,3,1,43,city_above_500000,wielkopolskie,5,married,2,No,7,4,4,4,4,3,1,4,4,3,1,3,0,1,2,3.8,2.4,4,1,4,2.333333333,4,3,1,monday-friday,2,0
2.176259683,0,lasy poza miastem,"spacer, jazda rowerem, zbieranie grzybów","miejsca na podziwianie piekna przyrody, miejsca dajacego mozliwosc oddychania czystym powietrzem, miejsca wypoczynku i rekreacji np. na weekendowy pobyt z rodzina i przyjaciólmi",,nie zmienila sie,3,4,1,37,village,swietokrzyskie,5,married,2,No,1,4,4,4,4,3,4,4,4,4,1,4,0,2,2,3.533333333,2.4,4,1.333333333,4,3,4,3,4,weekends,2,0
2.22218246,0,"lasy poza miastem, laki, ogródki dzialkowe","spacer, jazda rowerem, zbieranie grzybów","miejsca zbioru owoców lesnych i grzybów, miejsca dajacego mozliwosc oddychania czystym powietrzem, miejsca wyciszenia i odosobnienia",,raczej nie,2,3,1,30,village,zachodniopomorskie,5,married,0,No,1,4,4,4,5,3,0,5,4,4,1,2,1,1,2,4.466666667,1.933333333,4,1.333333333,4.5,2.333333333,5,3,0,monday-friday,1,0
2.291006602,1,"lasy w miescie, lasy poza miastem, laki, obszary zielone w miescie typu parki, skwery (zielence), ogród botaniczny","spacer, jazda rowerem, fotografowanie przyrody, obserwowanie ptaków","miejsca na podziwianie piekna przyrody, miejsca wyciszenia i odosobnienia, miejsca wypoczynku i rekreacji np. na weekendowy pobyt z rodzina i przyjaciólmi",,raczej nie,2,4,1,40,city_above_500000,wielkopolskie,5,single,1,No,1,4,4,4,4,3,4,4,4,4,2,4,0,2,2,3.733333333,3,4,1.333333333,4,3.333333333,4,3,4,everyday,2,1
2.292415332,0,"lasy poza miastem, obszary zielone w miescie typu parki, skwery (zielence)","spacer, bieganie (jogging), jazda rowerem","miejsca na podziwianie piekna przyrody, miejsca dajacego mozliwosc oddychania czystym powietrzem, miejsca wyciszenia i odosobnienia",,raczej nie,2,3,1,25,city_500000,lubelskie,5,single,0,No,1,5,4,5,4,3,1,5,4,4,2,4,1,2,3,4.066666667,2.933333333,4.666666667,2,4.5,3.333333333,4,3,1,weekends,1,1
2.331972316,0,"obszary zielone w miescie typu parki, skwery (zielence)","spacer, jazda rowerem","miejsca na podziwianie piekna przyrody, miejsca wyciszenia i odosobnienia",,raczej nie,2,3,1,42,city_500000,slaskie,5,married,1,No,1,4,5,4,4,2,2,4,4,3,1,3,0,2,2,3.466666667,2.666666667,4.333333333,1.333333333,4,2.333333333,4,2,2,few_times_in_month_or_less,2,1
2.384467664,0,"obszary zielone w miescie typu parki, skwery (zielence)",spacer,miejsca na podziwianie piekna przyrody,,raczej tak,4,4,1,64,city_100000,wielkopolskie,5,married,1,Yes,3,6,4,5,4,2,4,5,3,4,2,3,0,1,2,3.866666667,2.2,5,1,4,3,4,2,4,few_times_in_month_or_less,2,1
2.501033397,0,lasy poza miastem,"spacer, jazda rowerem, fotografowanie przyrody","mozliwosci swobodnych spotkan z ludzmi bez koniecznosci zakladania maseczki, miejsca dajacego mozliwosc oddychania czystym powietrzem, bezpiecznego miejsca do uprawiania sportu, np. nordic walking, bieganie, jazda na ro, jazda konnawerze",,nie zmienila sie,3,5,1,38,city_500000,wielkopolskie,5,single,0,No,3,4,4,4,4,2,1,4,4,3,0,3,0,0,2,4.333333333,2.866666667,4,0.666666667,4,2,4,2,1,weekends,2,0
2.505904687,1,"lasy w miescie, laki, obszary zielone w miescie typu parki, skwery (zielence)","spacer, fotografowanie przyrody","miejsca na podziwianie piekna przyrody, miejsca dajacego mozliwosc oddychania czystym powietrzem, miejsca wyciszenia i odosobnienia",,raczej nie,2,2,1,20,city_20000,wielkopolskie,3,single,0,No,6,4,3,4,5,2,0,4,4,3,1,3,0,1,2,3.466666667,2.6,3.666666667,1,4,2.333333333,5,2,0,few_times_in_month_or_less,1,1
2.543068745,1,"lasy w miescie, ogródki dzialkowe","spacer, fotografowanie przyrody","miejsca dajacego mozliwosc oddychania czystym powietrzem, miejsca wyciszenia i odosobnienia, miejsca ucieczki od problemów osobistych",,raczej nie,2,4,1,45,city_100000,wielkopolskie,3,single,0,No,1,4,4,3,4,1,4,4,3,5,0,3,0,1,2,3.6,3,3.666666667,1,3.5,2.666666667,4,1,4,weekends,1,1
2.556252244,0,"lasy poza miastem, laki","spacer, bieganie (jogging), fotografowanie przyrody, zbieranie grzybów","miejsca na podziwianie piekna przyrody, miejsca obserwacji zachowan dzikich zwierzat i ptaków, miejsca zbioru owoców lesnych i grzybów, miejsca wyciszenia i odosobnienia, miejsca ucieczki od problemów osobistych",,raczej nie,2,4,1,24,city_20000,wielkopolskie,5,single,0,No,7,4,4,4,4,3,4,4,3,4,0,3,1,0,2,3.6,2.133333333,4,1,3.5,2.333333333,4,3,4,weekends,1,0
2.620100027,0,"lasy poza miastem, obszary zielone w miescie typu parki, skwery (zielence)","spacer, fotografowanie przyrody, zbieranie grzybów","miejsca zbioru owoców lesnych i grzybów, miejsca dajacego mozliwosc oddychania czystym powietrzem, miejsca wyciszenia i odosobnienia",,raczej tak,4,5,1,57,village,wielkopolskie,5,single,1,No,1,5,5,4,5,2,2,5,4,4,2,4,0,2,2,4.2,2.333333333,4.666666667,1.333333333,4.5,3.333333333,5,2,2,monday-friday,1,1
2.634026364,0,"lasy poza miastem, ogródki dzialkowe","spacer, nordic-walking, zbieranie grzybów","miejsca na podziwianie piekna przyrody, miejsca dajacego mozliwosc oddychania czystym powietrzem, bezpiecznego miejsca do uprawiania sportu, np. nordic walking, bieganie, jazda na ro, jazda konnawerze, miejsca wyciszenia i odosobnienia, miejsca ucieczki od problemów osobistych, miejsca wypoczynku i rekreacji np. na weekendowy pobyt z rodzina i przyjaciólmi",,raczej nie,2,4,1,50,city_100000,pomorskie,3,divorced,2,No,3,4,4,4,4,1,0,4,4,4,2,3,0,2,3,3.8,2.733333333,4,1.666666667,4,3,4,1,0,weekends,3,0
2.690782022,1,lasy w miescie,"spacer, jazda rowerem, nordic-walking","miejsca na podziwianie piekna przyrody, miejsca dajacego mozliwosc oddychania czystym powietrzem, bezpiecznego miejsca do uprawiania sportu, np. nordic walking, bieganie, jazda na ro, jazda konnawerze",,raczej tak,4,3,1,43,city_500000,zachodniopomorskie,5,married,1,No,3,4,4,3,4,2,3,4,4,3,0,2,0,2,3,3.6,2.6,3.666666667,1.666666667,4,1.666666667,4,2,3,monday-friday,2,1
2.692856134,0,"obszary zielone w miescie typu parki, skwery (zielence)","spacer, jazda rowerem, nordic-walking","miejsca dajacego mozliwosc oddychania czystym powietrzem, miejsca wyciszenia i odosobnienia, miejsca wypoczynku i rekreacji np. na weekendowy pobyt z rodzina i przyjaciólmi",,raczej nie,2,5,1,42,city_above_500000,zachodniopomorskie,5,single,0,No,1,3,3,3,3,2,2,2,3,4,3,3,1,3,5,3.6,3.933333333,3,3,2.5,3.333333333,3,2,2,few_times_in_month_or_less,2,1
2.720571543,0,"lasy poza miastem, laki","jazda rowerem, fotografowanie przyrody","miejsca obserwacji zachowan dzikich zwierzat i ptaków, bezpiecznego miejsca do uprawiania sportu, np. nordic walking, bieganie, jazda na ro, jazda konnawerze, miejsca wyciszenia i odosobnienia",,raczej tak,4,3,1,22,city_20000,wielkopolskie,3,single,0,No,7,4,4,4,4,3,1,4,4,3,1,4,0,0,4,3.266666667,2.733333333,4,1.333333333,4,2.666666667,4,3,1,few_times_in_month_or_less,1,0
2.721833043,0,"lasy poza miastem, obszary zielone w miescie typu parki, skwery (zielence), ogródki dzialkowe","spacer, obserwowanie ptaków, zbieranie grzybów","miejsca na podziwianie piekna przyrody, miejsca obserwacji zachowan dzikich zwierzat i ptaków, miejsca zbioru owoców lesnych i grzybów, miejsca dajacego mozliwosc oddychania czystym powietrzem, miejsca wypoczynku i rekreacji np. na weekendowy pobyt z rodzina i przyjaciólmi",,raczej tak,4,5,1,29,city_500000,slaskie,5,married,2,No,1,4,4,4,4,2,6,3,4,3,1,3,0,2,2,3.733333333,2.466666667,4,1.333333333,3.5,2.333333333,4,2,6,weekends,2,1
2.73621552,0,lasy poza miastem,"spacer, fotografowanie przyrody","miejsca na podziwianie piekna przyrody, miejsca dajacego mozliwosc oddychania czystym powietrzem, miejsca wyciszenia i odosobnienia",,zdecydowanie tak,5,5,1,32,city_above_500000,mazowieckie,5,married,1,No,3,5,4,4,4,2,0,5,4,2,2,4,1,2,4,3.666666667,2.933333333,4.333333333,2.333333333,4.5,2.666666667,4,2,0,weekends,2,0
2.810962383,0,"lasy poza miastem, laki, obszary zielone w miescie typu parki, skwery (zielence), ogród botaniczny, ogródki dzialkowe","spacer, jazda rowerem, jazda konna po wyznaczonych trasach","miejsca dajacego mozliwosc oddychania czystym powietrzem, bezpiecznego miejsca do uprawiania sportu, np. nordic walking, bieganie, jazda na ro, jazda konnawerze, miejsca wypoczynku i rekreacji np. na weekendowy pobyt z rodzina i przyjaciólmi",,raczej tak,4,5,1,22,city_above_500000,wielkopolskie,3,single,0,No,2,5,4,4,4,3,0,5,4,3,1,2,2,0,4,3.466666667,1.8,4.333333333,2,4.5,2,4,3,0,monday-friday,2,1
2.818898764,1,"lasy w miescie, ogród botaniczny",spacer,"miejsca dajacego mozliwosc oddychania czystym powietrzem, miejsca wyciszenia i odosobnienia, miejsca wypoczynku i rekreacji np. na weekendowy pobyt z rodzina i przyjaciólmi",,nie zmienila sie,3,5,1,44,city_above_500000,wielkopolskie,5,married,2,No,1,4,4,3,4,1,3,4,4,4,0,4,0,2,3,3.4,2.666666667,3.666666667,1.666666667,4,2.666666667,4,1,3,weekends,3,1
2.868792217,0,"lasy poza miastem, ogródki dzialkowe","spacer, fotografowanie przyrody","miejsca dajacego mozliwosc oddychania czystym powietrzem, miejsca wyciszenia i odosobnienia, miejsca ucieczki od problemów osobistych",,raczej nie,2,4,1,26,village,lubuskie,5,single,0,No,1,4,4,2,3,2,0,4,3,3,1,3,0,2,4,2.266666667,2.933333333,3.333333333,2,3.5,2.333333333,3,2,0,everyday,1,0
